net,length_um
_0311_,427.06
_0320_,405.04
_0161_,347.9
_0350_,343.56
clknet_0_clk,330.46
_0174_,329.545
_0340_,327.84
_0175_,326.86
_0425_,313.12
_0434_,304.4
_0172_,300.68
_0443_,299.365
_0169_,298.44
_0379_,297.24
_0388_,288.48
_0186_,287.62
_0360_,286.44
_0168_,285.41
_0416_,279.78
_0167_,279.39
_0369_,276.12
_0406_,274.26
_0397_,272.12
_0173_,269.1
_0157_,268.18
_0162_,263.465
_0159_,261.485
_0329_,248.74
_0295_,239.82
_0179_,234.56
_0292_,202.42
_0297_,190.72
net2,188.12
net36,172
net3,170.36
clknet_4_2_0_clk,170.04
clk,162.53
_0301_,157.78
clknet_4_7_0_clk,150
_0299_,146.975
_0309_,145.82
net32,144.34
_0152_,141.87
net27,136.41
clknet_4_8_0_clk,134.92
net33,131.42
net7,131.36
clknet_4_0_0_clk,129.76
_0305_,127.78
net28,126.94
clknet_4_5_0_clk,126.46
net31,123.54
net24,123.24
net25,120.84
clknet_4_13_0_clk,118.4
net30,116.945
_0303_,116.92
_0184_,116.54
net5,116.04
_0189_,113.7
net8,111.56
net23,110.015
net26,109.94
net1,108.32
_0202_,106.02
_0307_,105.46
clknet_4_3_0_clk,101.03
net35,100.98
_0258_,100.56
_0191_,98.86
net34,97.45
net29,92.56
clknet_4_4_0_clk,90
clknet_4_9_0_clk,89.36
net22,89.19
_0206_,88.5
_0185_,87.24
wr_ptr\[0\],86.66
clknet_4_12_0_clk,86.14
rd_ptr\[2\],83.525
_0237_,83.04
clknet_4_10_0_clk,82.7
_0215_,81.08
_0158_,80.1
clknet_4_1_0_clk,80.08
_0227_,76.74
mem\[11\]\[0\],74.6
clknet_4_6_0_clk,74.34
net4,74.32
rd_ptr\[1\],73.06
net178,72.62
_0153_,72.2
clknet_4_14_0_clk,71.04
_0222_,69.66
net180,66.085
net6,65.5
_0247_,64.98
wr_ptr\[1\],60.8
clknet_4_15_0_clk,60.78
rd_ptr\[3\],58.32
_0217_,58.26
_0156_,57.6
_0210_,57.36
clknet_4_11_0_clk,56.34
_0155_,56.08
net181,54.12
_0249_,52.42
_0269_,52.08
_0339_,51.94
_0271_,50.96
_0244_,50.62
_0226_,49.06
_0154_,48.82
_0163_,48.2
net179,46.94
_0199_,43.8
_0378_,43.16
_0224_,42.98
net14,41.9
_0236_,41.32
_0261_,40.76
_0415_,40.7
_0180_,39.26
_0207_,36.56
net13,35.84
_0209_,35.22
count\[1\],35.1
net18,34.46
wr_ptr\[3\],34.3
_0246_,34
net19,33.46
net15,33.08
count\[2\],32.96
count\[4\],32.82
net9,32.1
_0150_,31.11
_0205_,30.8
net16,29.86
net12,28.86
mem\[11\]\[5\],28.24
_0259_,28.2
_0257_,27.6
net17,27.48
_0213_,27.34
mem\[3\]\[1\],27.22
_0171_,26.6
count\[0\],25.4
mem\[15\]\[5\],24.7
mem\[8\]\[0\],24.2
_0256_,24
mem\[9\]\[1\],22.82
_0338_,22.68
_0166_,22.5
_0293_,22.18
wr_ptr\[2\],21.96
mem\[15\]\[3\],21.84
_0181_,21.78
_0231_,21.78
mem\[7\]\[1\],21.745
_0260_,21.42
_0201_,20.82
mem\[14\]\[0\],20.68
_0208_,20.2
_0178_,20
net11,19.86
_0220_,19.4
rd_ptr\[0\],18.82
mem\[13\]\[3\],18.38
mem\[9\]\[2\],17.7
_0287_,17.6
mem\[10\]\[3\],17.3
_0010_,17.28
mem\[10\]\[1\],17.24
mem\[15\]\[7\],17.225
_0187_,17.22
mem\[3\]\[4\],16.86
_0243_,16.68
mem\[12\]\[5\],16.64
mem\[7\]\[2\],16.625
_0255_,16.6
mem\[5\]\[5\],16.58
mem\[4\]\[7\],16.48
mem\[1\]\[7\],16.34
mem\[14\]\[7\],16.18
mem\[15\]\[1\],16.12
mem\[9\]\[4\],16.02
mem\[6\]\[3\],15.98
_0164_,15.86
mem\[1\]\[4\],15.86
mem\[2\]\[5\],15.14
mem\[7\]\[3\],15.14
mem\[10\]\[5\],15.12
_0264_,15.1
mem\[12\]\[0\],15.06
_0013_,15.02
mem\[15\]\[6\],14.84
mem\[5\]\[2\],14.74
mem\[10\]\[6\],14.6
count\[3\],14.54
mem\[13\]\[7\],14.54
mem\[12\]\[1\],14.505
mem\[14\]\[5\],14.405
mem\[6\]\[7\],13.9
mem\[14\]\[6\],13.76
mem\[14\]\[2\],13.72
mem\[14\]\[3\],13.66
mem\[5\]\[3\],13.42
mem\[3\]\[6\],13.38
_0197_,13.36
mem\[3\]\[2\],13.34
_0266_,13.3
net44,13.26
mem\[6\]\[1\],13.22
net20,13.22
mem\[6\]\[0\],13.16
_0196_,13.08
mem\[1\]\[6\],12.98
_0176_,12.96
mem\[5\]\[1\],12.92
mem\[8\]\[1\],12.92
mem\[11\]\[7\],12.915
_0423_,12.8
mem\[10\]\[7\],12.74
mem\[1\]\[2\],12.64
_0082_,12.625
mem\[13\]\[0\],12.58
mem\[11\]\[3\],12.54
mem\[4\]\[5\],12.46
mem\[1\]\[3\],12.42
mem\[7\]\[4\],12.405
_0240_,12.36
mem\[3\]\[3\],12.34
mem\[1\]\[5\],12.28
mem\[10\]\[4\],12.12
mem\[8\]\[6\],12.115
_0272_,12.1
mem\[13\]\[5\],12.1
_0343_,12.08
_0254_,12.04
_0279_,11.84
_0399_,11.82
_0282_,11.76
mem\[6\]\[6\],11.74
_0359_,11.64
_0336_,11.62
mem\[4\]\[2\],11.62
mem\[3\]\[0\],11.58
_0149_,11.56
mem\[11\]\[4\],11.54
mem\[2\]\[0\],11.54
mem\[8\]\[7\],11.54
mem\[13\]\[1\],11.38
mem\[4\]\[6\],11.34
_0277_,11.27
_0204_,11.26
mem\[8\]\[4\],11.22
mem\[8\]\[3\],11.2
_0228_,11.16
mem\[4\]\[4\],11.14
_0238_,11.12
mem\[0\]\[7\],11.08
mem\[12\]\[7\],11.08
_0020_,11.06
mem\[5\]\[6\],11.04
_0233_,10.96
mem\[1\]\[1\],10.88
mem\[4\]\[0\],10.88
_0250_,10.82
mem\[13\]\[2\],10.78
net153,10.78
mem\[7\]\[7\],10.76
_0165_,10.7
_0268_,10.7
mem\[9\]\[5\],10.7
mem\[0\]\[1\],10.62
_0391_,10.54
mem\[10\]\[0\],10.54
mem\[14\]\[4\],10.54
mem\[9\]\[7\],10.5
_0151_,10.42
_0054_,10.385
mem\[2\]\[4\],10.375
_0414_,10.34
_0448_,10.28
_0223_,10.22
net143,10.18
mem\[12\]\[2\],10.165
mem\[5\]\[7\],10.08
net124,10
mem\[11\]\[1\],9.98
mem\[13\]\[4\],9.96
mem\[5\]\[0\],9.96
net46,9.94
_0038_,9.925
_0361_,9.92
_0198_,9.88
_0351_,9.88
_0045_,9.865
_0194_,9.86
_0218_,9.86
_0232_,9.86
net40,9.86
_0393_,9.8
_0190_,9.78
_0245_,9.66
mem\[2\]\[1\],9.62
mem\[7\]\[6\],9.58
_0225_,9.52
net176,9.52
mem\[15\]\[4\],9.5
_0251_,9.48
_0229_,9.44
_0060_,9.385
mem\[6\]\[4\],9.36
mem\[9\]\[6\],9.32
